url,name,description,homepage,forks,stars,issues,subscribers_count,watchers_count,created_at
https://api.github.com/repos/djnicholson/blockmarks,blockmarks,A decentralized bookmark manager at your fingertips,https://clickbox.link,1,2,,1,2,2018-12-15 14:22:51
https://api.github.com/repos/dkb868/socialvault,socialvault,"Decentralized, encrypted storage for social media data. Built on Blockstack.",https://socialvault.io,4,14,,3,14,2019-06-26 06:03:04
https://api.github.com/repos/dladowitz/satoshi_nakamoto_vs_the_world,satoshi_nakamoto_vs_the_world,Track crypto assets agains traditional assets,https://www.satoshivstheworld.com,0,0,,0,0,2019-05-26 23:00:45
https://api.github.com/repos/dotrungkien/2048,2048,2048 board game with Blockstack authentication https://2048.dotgrid.pro,,1,0,,1,0,2019-12-02 00:59:56
https://api.github.com/repos/DownQuark-Work/downquark.bountiesWeb3.Blockstack_WritersBlock,downquark.bountiesWeb3.Blockstack_WritersBlock,Repository for App Mining Block Stack Code,,0,0,,1,0,2019-10-01 02:56:01
https://api.github.com/repos/Drewsup123/BlockStack-App,BlockStack-App,Application made with blockstack technology,,2,0,,2,0,2019-09-20 03:29:48
https://api.github.com/repos/egoist/denote,denote,A Decentralized Note-Taking App,https://denote.xyz,9,49,,4,49,2019-09-13 08:30:20
https://api.github.com/repos/elbaruni/Dapp-Games,Dapp-Games,,,0,0,,1,0,2019-12-10 10:39:01
https://api.github.com/repos/entaxy-project/entaxy,entaxy,Your Personal Finance Simple & Private https://entaxy.io,,25,6,,5,6,2018-02-03 03:54:51
https://api.github.com/repos/ERPGenie/Blockstack-POC-Crypto-Portfolio,Blockstack-POC-Crypto-Portfolio,Simple Crypto Portfolio leveraging Blockstack,,0,0,,1,0,2020-03-13 14:43:27
https://api.github.com/repos/ferrucc-io/kit-crm,kit-crm,A personal CRM built on Blockstack,https://kit.st,8,31,,2,31,2018-11-02 18:52:36
https://api.github.com/repos/openintents/gitix,gitix,A decentralized git profile like github built with React  💻👩‍💻💽 👨‍💻,https://app.gitix.org,3,8,,3,8,2019-07-30 22:59:06
https://api.github.com/repos/openintents/calendar-web,calendar-web,"Private, Encrypted calendar in the cloud with Blockstack",https://cal.openintents.org,9,16,,3,16,2019-01-22 05:47:38
https://api.github.com/repos/openintents/chat-web,chat-web,A glossy Matrix collaboration client for the web.,http://riot.im,3,4,,2,4,2018-12-17 20:13:38
https://api.github.com/repos/friedger/time-calc,time-calc,Timesheet PWA with Blockstack,https://oi-timesheet.com,2,3,,2,3,2018-03-22 11:15:01
https://api.github.com/repos/gin/2019-cant-be-evil-part-2,2019-cant-be-evil-part-2,delightning,,0,0,,1,0,2019-08-01 06:31:43
https://api.github.com/repos/Graphite-Docs/graphite,graphite,"Encrypted, secure, user-owned productivity suite",https://graphitedocs.com,48,430,,21,430,2018-03-03 08:51:45
https://api.github.com/repos/Graphite-Docs/mailr-client,mailr-client,,,1,0,,1,0,2019-07-02 15:05:12
https://api.github.com/repos/hatskier/blockgag.co,blockgag.co,"9gag built on blockstack. Ads-free, secure, decentralised and with innovative ""live emotions"" feature",https://blockgag.co,0,0,,1,0,2019-11-26 20:08:21
https://api.github.com/repos/hatskier/codeplay.dev,codeplay.dev,This repo is deprecated. Please check out https://github.com/hatskier/codenplay.io,,1,0,,0,0,2019-06-29 13:37:14
https://api.github.com/repos/hatskier/TryNotToLaugh.online,TryNotToLaugh.online,"Decentralized web game built on Blockstack, where you gain scores by not laughing",https://TryNotToLaugh.online,0,1,,1,1,2019-12-12 18:23:50
https://api.github.com/repos/hdriqi/paras-app,paras-app,Decentralized Personal Website. Zero config. Zero fee. Zero headache. Powered by Blockstack.,https://paras.id,2,9,,2,9,2019-11-16 07:31:41
https://api.github.com/repos/hdriqi/piara-mobile,piara-mobile,,,1,0,,1,0,2019-09-07 15:05:33
